排名,行业,综合得分,当日涨幅%,超额收益%,RPS_5D,RPS_20D,量比,涨停数,板块宽度%,5日涨幅%,20日涨幅%,热度状态,个股数
1,空运,45.9,1.98,3.37,0.9,0.9,1,0,87.5,0,0,待观察,8
2,公共交通,37.8,0.93,2.32,0.9,0.9,1,0,57.1,0,0,待观察,7
3,路桥,34,-0.01,1.38,0.9,0.9,1,0,52.6,0,0,待观察,19
4,银行,33.8,0.17,1.56,0.9,0.9,1,0,47.6,0,0,待观察,42
5,水运,32.3,-0.14,1.25,0.9,0.9,1,0,44.4,0,0,待观察,18
6,白酒,32,0.1,1.5,0.9,0.9,1,0,36.8,0,0,待观察,19
7,生物制药,30.4,-0.36,1.04,0.9,0.9,1,0,36.2,0,0,待观察,69
8,摩托车,30.2,-0.14,1.25,0.9,0.9,1,0,30,0,0,待观察,10
9,证券,29.9,-0.14,1.25,0.9,0.9,1,0,28,0,0,待观察,50
10,玻璃,29,-0.32,1.07,0.9,0.9,1,0,26.3,0,0,待观察,19
11,酒店餐饮,28.9,-0.67,0.73,0.9,0.9,1,0,33.3,0,0,待观察,9
12,汽车整车,28.4,-0.35,1.04,0.9,0.9,1,0,22.7,0,0,待观察,22
13,汽车配件,28.3,-0.83,0.57,0.9,0.9,1,0,32.8,0,0,待观察,235
14,旅游服务,28,-0.57,0.83,0.9,0.9,1,0,25,0,0,待观察,8
15,港口,27.9,-0.58,0.81,0.9,0.9,1,0,25,0,0,待观察,16
16,纺织机械,26.5,-1.13,0.27,0.9,0.9,1,0,27.3,0,0,待观察,11
17,家用电器,26.4,-1.14,0.26,0.9,0.9,1,0,27.2,0,0,待观察,81
18,旅游景点,25.6,-0.91,0.49,0.9,0.9,1,0,16.7,0,0,待观察,18
19,红黄酒,24.8,-0.9,0.5,0.9,0.9,1,0,11.1,0,0,待观察,9
20,水力发电,24.6,-1.49,-0.09,0.9,0.9,1,0,22.7,0,0,待观察,22
21,火力发电,24.3,-1.26,0.13,0.9,0.9,1,0,16.1,0,0,,31
22,机场,23.5,-0.78,0.61,0.9,0.9,1,0,0,0,0,,5
23,工程机械,23.5,-1.87,-0.48,0.9,0.9,1,0,24.2,0,0,,33
24,机床制造,23.3,-1.85,-0.45,0.9,0.9,1,0,22.2,0,0,,18
25,化学制药,23.1,-1.75,-0.36,0.9,0.9,1,0,18.8,0,0,,133
26,机械基件,23.1,-2.12,-0.72,0.9,0.9,1,0,26.7,0,0,,116
27,保险,23,-0.94,0.46,0.9,0.9,1,0,0,0,0,,5
28,医疗保健,22.7,-1.77,-0.37,0.9,0.9,1,0,16.7,0,0,,156
29,水泥,21.9,-2.06,-0.66,0.9,0.9,1,0,17.4,0,0,,23
30,公路,21.8,-1.3,0.1,0.9,0.9,1,0,0,0,0,,3
31,普钢,21.7,-1.67,-0.28,0.9,0.9,1,0,7.7,0,0,,26
32,铁路,21.2,-1.48,-0.08,0.9,0.9,1,0,0,0,0,,7
33,园区开发,21.2,-1.81,-0.41,0.9,0.9,1,0,7.1,0,0,,14
34,元器件,21,-2.45,-1.06,0.9,0.9,1,0,20.5,0,0,,273
35,中成药,21,-1.87,-0.48,0.9,0.9,1,0,7.6,0,0,,66
36,服饰,20.9,-2.26,-0.86,0.9,0.9,1,0,15.6,0,0,,64
37,新型电力,20.7,-2.35,-0.96,0.9,0.9,1,0,16.1,0,0,,31
38,造纸,20.4,-2.38,-0.99,0.9,0.9,1,0,15.2,0,0,,33
39,日用化工,20.1,-2.32,-0.92,0.9,0.9,1,0,11.1,0,0,,18
40,纺织,20,-2.5,-1.11,0.9,0.9,1,0,14.6,0,0,,41
41,汽车服务,20,-2.32,-0.93,0.9,0.9,1,0,11.1,0,0,,9
42,小金属,19.8,-2.53,-1.13,0.9,0.9,1,0,14,0,0,,57
43,家居用品,19.6,-2.47,-1.07,0.9,0.9,1,0,11.8,0,0,,68
44,百货,19.3,-2.44,-1.04,0.9,0.9,1,0,8.6,0,0,,35
45,多元金融,19.1,-2.11,-0.72,0.9,0.9,1,0,0,0,0,,23
46,铝,19.1,-2.7,-1.3,0.9,0.9,1,0,13.3,0,0,,30
47,仓储物流,19.1,-2.31,-0.92,0.9,0.9,1,0,4.4,0,0,,45
48,农业综合,19,-2.35,-0.95,0.9,0.9,1,0,5,0,0,,40
49,食品,18.6,-2.46,-1.07,0.9,0.9,1,0,4.7,0,0,,86
50,特种钢,18.6,-2.26,-0.87,0.9,0.9,1,0,0,0,0,,10
51,饲料,18.5,-2.5,-1.1,0.9,0.9,1,0,4.8,0,0,,21
52,医药商业,18,-2.44,-1.05,0.9,0.9,1,0,0,0,0,,37
53,水务,17.9,-2.45,-1.06,0.9,0.9,1,0,0,0,0,,15
54,矿物制品,17.8,-3.09,-1.69,0.9,0.9,1,0,13.3,0,0,,30
55,电器仪表,17.5,-3.15,-1.75,0.9,0.9,1,0,13,0,0,,77
56,航空,17.4,-2.88,-1.49,0.9,0.9,1,0,6.4,0,0,,47
57,渔业,17.4,-2.61,-1.21,0.9,0.9,1,0,0,0,0,,7
58,农药化肥,17.3,-2.87,-1.48,0.9,0.9,1,0,5.5,0,0,,55
59,啤酒,17.1,-2.71,-1.31,0.9,0.9,1,0,0,0,0,,8
60,轻工机械,17,-2.74,-1.34,0.9,0.9,1,0,0,0,0,,7
61,煤炭开采,16.8,-2.97,-1.57,0.9,0.9,1,0,4,0,0,,25
62,建筑工程,16.7,-3.08,-1.68,0.9,0.9,1,0,5.9,0,0,,118
63,环境保护,16.7,-3.25,-1.86,0.9,0.9,1,0,10,0,0,,110
64,塑料,16.7,-3.29,-1.89,0.9,0.9,1,0,10.6,0,0,,66
65,黄金,16.6,-2.86,-1.46,0.9,0.9,1,0,0,0,0,,10
66,其他商业,16.5,-3.26,-1.86,0.9,0.9,1,0,8.3,0,0,,12
67,影视音像,16.5,-2.89,-1.5,0.9,0.9,1,0,0,0,0,,34
68,供气供热,16.5,-3.17,-1.78,0.9,0.9,1,0,6.8,0,0,,44
69,农用机械,16.5,-2.87,-1.48,0.9,0.9,1,0,0,0,0,,12
70,乳制品,16.5,-2.89,-1.49,0.9,0.9,1,0,0,0,0,,20
71,广告包装,16.2,-3.4,-2.01,0.9,0.9,1,0,10,0,0,,50
72,超市连锁,16,-3.02,-1.63,0.9,0.9,1,0,0,0,0,,8
73,林业,15.9,-3.06,-1.66,0.9,0.9,1,0,0,0,0,,4
74,出版业,15.9,-3.07,-1.68,0.9,0.9,1,0,0,0,0,,29
75,铅锌,15.8,-3.44,-2.05,0.9,0.9,1,0,7.7,0,0,,13
76,专用机械,15.8,-3.51,-2.11,0.9,0.9,1,0,9.2,0,0,,239
77,文教休闲,15.6,-3.23,-1.84,0.9,0.9,1,0,2,0,0,,51
78,染料涂料,15.5,-3.72,-2.32,0.9,0.9,1,0,11.8,0,0,,34
79,电信运营,15.5,-3.17,-1.78,0.9,0.9,1,0,0,0,0,,5
80,商贸代理,15.2,-3.54,-2.14,0.9,0.9,1,0,6.2,0,0,,16
81,铜,15.1,-3.56,-2.16,0.9,0.9,1,0,5.6,0,0,,18
82,互联网,15.1,-3.52,-2.13,0.9,0.9,1,0,5,0,0,,80
83,电气设备,14.9,-3.84,-2.44,0.9,0.9,1,0,10.8,0,0,,305
84,运输设备,14.7,-3.53,-2.13,0.9,0.9,1,0,2.2,0,0,,45
85,化纤,14.5,-3.61,-2.22,0.9,0.9,1,0,3.2,0,0,,31
86,IT设备,14.3,-3.73,-2.33,0.9,0.9,1,0,4.2,0,0,,72
87,船舶,14.3,-3.55,-2.15,0.9,0.9,1,0,0,0,0,,11
88,软件服务,14.2,-3.91,-2.51,0.9,0.9,1,0,7.7,0,0,,246
89,全国地产,14,-3.8,-2.41,0.9,0.9,1,0,3.8,0,0,,26
90,其他建材,14,-3.79,-2.4,0.9,0.9,1,0,3.7,0,0,,27
91,种植业,13.8,-3.67,-2.28,0.9,0.9,1,0,0,0,0,,17
92,化工机械,13.8,-4.06,-2.66,0.9,0.9,1,0,8.3,0,0,,12
93,批发业,13.7,-3.71,-2.32,0.9,0.9,1,0,0,0,0,,5
94,石油加工,13.4,-3.81,-2.41,0.9,0.9,1,0,0,0,0,,13
95,化工原料,13.3,-4.1,-2.7,0.9,0.9,1,0,6.1,0,0,,228
96,钢加工,13.3,-3.83,-2.43,0.9,0.9,1,0,0,0,0,,22
97,陶瓷,13,-3.93,-2.54,0.9,0.9,1,0,0,0,0,,5
98,房产服务,12.8,-3.97,-2.58,0.9,0.9,1,0,0,0,0,,13
99,装修装饰,12.7,-4.2,-2.81,0.9,0.9,1,0,4,0,0,,25
100,焦炭加工,12.3,-4.13,-2.73,0.9,0.9,1,0,0,0,0,,7
101,综合类,12.2,-4.15,-2.76,0.9,0.9,1,0,0,0,0,,18
102,区域地产,12.1,-4.38,-2.99,0.9,0.9,1,0,4.5,0,0,,44
103,商品城,11.8,-4.28,-2.88,0.9,0.9,1,0,0,0,0,,4
104,通信设备,11.6,-4.69,-3.29,0.9,0.9,1,0,8,0,0,,125
105,橡胶,10.5,-4.66,-3.27,0.9,0.9,1,0,0,0,0,,13
106,石油贸易,10.2,-4.76,-3.36,0.9,0.9,1,0,0,0,0,,4
107,软饮料,9.9,-4.83,-3.44,0.9,0.9,1,0,0,0,0,,9
108,半导体,9.2,-5.48,-4.09,0.9,0.9,1,0,9.6,0,0,,157
109,石油开采,8.6,-5.24,-3.85,0.9,0.9,1,0,0,0,0,,20
